scenario,label,converged,outlays,revenues,deficit,deficit_gdp,gdp_effect,debt_gdp_2026,debt_gdp_2036,U_growth,U_health,U_equity,U_security,distortion,W
A_growth_capital,Growth & Capital Optimization (limited-government leaning),True,6857.25154652076,5525.671214448793,1331.580332071967,4.187359534817507,-424.73591743546785,100.81693734539712,107.19028908468775,-5.7817091743546785,-1.8949189833179632,-2.166985347863677,-1.4405179233797112,0.0,-16.033233933549983
B_social_welfare,Social Welfare Maximization (social-democratic leaning),True,8211.024838336896,6663.207486541389,1547.8173517955074,4.867350162878954,310.24049452222243,99.18274314148636,111.24815776780763,6.0382406850364685,5.886291764008638,10.969241165340396,0.23486690042994426,3.9260586999999996,34.78078719034872
C_nordic_financing,Universalist with Consumption Financing (Nordic-style),True,8211.029154882941,7017.42769507881,1193.601459804131,3.7534637100758843,-136.06148263779687,99.46204715669002,101.00000000348919,2.401832515654304,6.332887304612618,5.2793769463729925,0.2348815817394667,4.444915332278486,17.146769096644668
D_fiscal_consolidation,Deficit-First Grand Bargain (fiscal-hawk bipartisan),True,7694.69920128776,6591.231284461768,1103.4679168259918,3.4700248956792197,-101.05208878989288,99.06785551617749,98.00000000008473,1.9993265072239126,4.31124708726554,8.738480142539373,-0.873540564264003,3.926058699999999,4.112479180701391
E_pragmatic_pareto,Pragmatic Compromise (highest joint-passage likelihood),True,7800.865990221985,6602.607464045313,1198.2585261766726,3.7681085728826185,-36.04534831186538,99.1635294520944,101.00000000044574,2.020969016881346,4.512881423861555,8.335619646667636,-0.8190195020168087,3.926058699999522,10.070623276256589
